ascore,category,description,ein,tot_exp,admin_exp_p,fund_eff,fund_exp_p,program_exp_p,fscore,leader,leader_comp,leader_comp_p,motto,name,tot_rev,state,subcategory,size,program_exp,fund_exp,admin_exp,predicted_score
96,Community Development,"Guided by our Jewish values of Tzedakah (righteous giving), Chesed (loving kindness) and Tikun Olam (repairing the world), we work together to meet vital needs at home, in Israel and around the world, and to cultivate a vibrant and inclusive Jewish community, now and for future generations.",06-0994563,1289673,0.114,0.06,0.141,0.743,94.44,David Weisberg,157083.0,0.1218,Together we make extraordinary impact.,Federation for Jewish Philanthropy of Upper Fairfield County,1382683,CT,Jewish Federations,small,958227.039,181843.893,147022.722,95.151913654472
89,Research and Public Policy,"Founded in 1982, the Federalist Society for Law and Public Policy Studies is a group of conservatives and libertarians dedicated to reforming the current legal order. We are committed to the principles that the state exists to preserve freedom, that the separation of governmental powers is central to our Constitution, and that it is emphatically the province and duty of the judiciary to say what the law is, not what it should be. We seek to promote awareness of these principles and to further their application through our activities. Overall, the Society's efforts are improving our present and future leaders' understanding of the principles underlying American law.",36-3235550,18233577,0.049,0.04,0.059,0.891,100.0,Eugene B. Meyer,746997.0,0.0409,Reforming the current legal order,The Federalist Society for Law and Public Policy Studies,20415064,DC,Social and Public Policy Research,big,16246117.11,1075781.043,893445.273,92.20180359039226
86,Human Services,"The Federal Employee Education and Assistance Fund (FEEA) is the only independent, nonprofit 501c3 organization devoted solely to providing emergency financial assistance and scholarships to our dedicated civilian federal and postal public servants and their families.",52-1465583,1477088,0.081,0.11,0.052,0.865,87.5,Joyce Warner,185000.0,0.1252,Federal employees helping federal employees,Federal Employee Education & Assistance Fund,1100058,VA,Social Services,small,1277681.12,76808.576,119644.128,86.66379752133518
100,Human Services,"The FDNY Foundation supports the critical life saving work of the Fire Department of New York (FDNY). As the official fundraising vehicle for the FDNY for more than two decades, the Foundation works collaboratively with the Fire Department to support its most crucial priorities; to reduce firefighter and civilian deaths and injury. The Foundation continues to support FDNY initiatives for education, fire prevention, training and equipment needs that are not funded through city, state or federal budgets. Each year the FDNY Foundation, in conjunction with the FDNY, supports various projects and programs including: FDNY Fire Zone, a state of the art fire safety learning center; Fire Zone on the Road, a fire safety outreach campaign; fire safety public awareness campaigns; and The Family Assistance Program, which provides assistance to the families of fallen firefighters.",11-2632404,7326345,0.039,0.03,0.031,0.928,97.5,Jean O'Shea,146914.0,0.02,Supporting the critical life saving work of the FDNY,FDNY Foundation,8203632,NY,Multipurpose Human Service Organizations,mid,6798848.16,227116.695,285727.455,98.22478583529623
97,Human and Civil Rights,"The Friends Committee on National Legislation (FCNL) Education Fund exists in parallel with FCNL to support the research, analysis and education for which FCNL is known and respected. FCNL's multi-issue advocacy connects historic Quaker testimonies on peace, equality, simplicity, and truth with peace and social justice issues which the United States government is or should be addressing. In the last six-and-a-half decades, FCNL has played a pivotal role in the creation of the Peace Corps, was instrumental in lobbying for the creation of the Arms Control and Disarmament Agency, helped lobby for the Civil Rights Act, and led efforts in Washington to oppose both the first and second Iraq wars.",52-1254489,3680702,0.178,0.22,0.286,0.534,70.38,Diane Randall,97723.0,0.0265,Bringing Quaker perspectives to public policy issues,FCNL Education Fund,6693207,DC,Advocacy and Education,mid,1965494.868,1052680.772,655164.956,78.9209775161387
92,Human Services,"At Fayetteville Urban Ministry our focus is transforming lives through FAITH, HOPE, LOVE, and SECURITY. The Find-A-Friend youth program strives to spark FAITH in youth for a brighter tomorrow. The Adult Literacy Program establishes HOPE for a better future through the gift of reading, education, and job preparation. The Emergency Assistance program seeks to LOVE our neighbors by meeting their basic needs for food, clothing, and crisis support. Finally, The Nehemiah Project builds SECURITY in our community by providing free home repairs to low-income homeowners.",58-1354139,2234186,0.076,0.01,0.007,0.916,92.5,This organization did not report a CEO,,,"To show God's compassion for our neighbors in need, and thus build our community together.","Fayetteville Urban Ministry, Inc.",2436365,NC,Social Services,small,2046514.376,15639.302,169798.136,92.24467188450726
82,Religion,"Fatima Network spreads the message of Fatima through the Crusader, distribution of leaflets, newsletters, books, and other media to the general public.",22-2396744,3766074,0.043,0.04,0.039,0.916,80.0,Andrew Cesanek,15601.0,0.0041,Spreading the message of Fatima,Fatima Network,3578847,NY,Religious Media and Broadcasting,mid,3449723.784,146876.886,161941.182,81.0201539623831
81,Human Services,"The mission of Father Woody's Haven of Hope is to provide food, shelter, clothing, counseling, rehabilitation and hygienic services to the homeless and indigent men and women in Denver; we are here to serve, not to judge. We treat each guest with respect, dignity and a friendly face.",84-1479555,1567050,0.111,0.16,0.213,0.674,82.47,This organization did not report a CEO,,,"Providing food, shelter, clothing, counseling, rehabilitation, and hygienic services to the homeless and indigent.",Father Woody's Haven of Hope,1892588,CO,Homeless Services,small,1056191.7,333781.65,173942.55,81.77692149361998
100,Human Services,"Father Joe's Villages is a multi-city homeless rehabilitation organization dedicated to addressing the immediate and ongoing needs of underprivileged children, families and individuals who, for various reasons, have found themselves without basic life necessities. Father Joe's Villages has developed a comprehensive array of programs clients can access to regain their self-sufficiency, including short- and long-term residential accommodations, job-training classes, counseling and chemical-dependency services as well as a full-service medical and dental clinic. Programs include: St. Vincent de Paul Village, Martha's Village & Kitchen, Toussaint Youth Villages, Josue Homes and the National AIDS Foundation, and Padre Luis Jayme International Outreach.",33-0492304,9554877,0.195,0.08,0.042,0.762,83.54,Deacon Jim F. Vargas,167542.0,0.0175,Helping people in need,Father Joe's Villages,13344405,CA,Social Services,mid,7280816.274,401304.834,1863201.015,88.35149426643379
96,Human Services,"Father Fred Foundation, began in 1989 and is a grassroots, volunteer driven, local charity that assists our neighbors in need with a wide variety of resources such as free food, clothing, furniture and financial aid. We do this without state or federal aid so our program is completely funded by community donations. Our focus is to listen, care, share and passionately support our guests with dignity and respect. Our vision is to help those who come to The Foundation seeking assistance so that no need in our community is unfulfilled. We will always honor the legacy of Father Fred by treating all people with dignity and respect, while nurturing hope and working with humility.",38-2908199,2118664,0.037,0.03,0.031,0.93,91.23,Deb Haase,62885.0,0.0296,"Listen, care, and share.",Father Fred Foundation,2286328,MI,Social Services,small,1970357.52,65678.584,78390.568,93.18160190855268
85,Education,"Founded in 1944, when apparel industry leaders obtained a charter to establish a fashion institute of design and technology, The Fashion Institute of Technology Foundation was born, to nurture and educate the future leaders of the fashion industry. The FIT Foundation serves as an advisory and fundraising body to FIT. The special relationship between the college and foundation creates valuable opportunities to share knowledge and experience. Board members, who include today's leaders and innovators, serve on panels and appear as special lecturers, enabling students to meet outstanding representatives from the fields of industrial production, labor, design, merchandising, and the arts.",13-5675757,5704618,0.266,0.05,0.033,0.7,81.21,Joyce F. Brown,44672.0,0.0078,Nurturing and educating the future leaders of the fashion industry,Fashion Institute of Technology Foundation,7154971,NY,Scholarship and Financial Support,mid,3993232.6,188252.394,1517428.388,83.02138616448536
96,"Arts, Culture, Humanities","Celebrating Maine's role in American art, the Farnsworth Art Museum offers a nationally recognized collection of works from many of America's greatest artists. With 20,000 square feet of gallery space and over 10,000 works in the collection, there is always something new on view at the Farnsworth. The museum houses the nation's second-largest collection of works by premier 20th-century sculptor Louise Nevelson. Its Wyeth Center exclusively features works of Andrew, N.C. and Jamie Wyeth. The Farnsworth's library is also housed in its Rockland, ME, campus. Two historic buildings, the Farnsworth Homestead and the Olson House, complete the museum complex.",01-0368070,4169333,0.203,0.15,0.115,0.681,72.98,Christopher Brownawell,239431.0,0.0574,Celebrating Maine's role in  American art,Farnsworth Art Museum,3431558,ME,Museums,mid,2839315.773,479473.295,846374.599,80.73081068549855
88,Human Services,"Founded in 1999, Farmers and Hunters Feeding the Hungry (FHFH) is an outreach ministry of the people of God called upon to feed venison to the hungry among us nationwide. Many of the growing number of deer and other big game in America are being discarded. Farmers and hunters deliver this harvested surplus deer and other big game to participating meat processors. Donations from churches, clubs, businesses and individuals cover the costs of processing, packaging and freezing the meat. The frozen meat is then available free of cost for pick-up by a nearby food bank or feeding program. This nutritious, low fat, high protein meat is then distributed and/or cooked by hundreds of community agencies.",52-2151919,1058070,0.058,0.04,0.047,0.894,81.88,This organization did not report a CEO,,,Feeding the Hungry,Farmers and Hunters Feeding the Hungry,1135993,MD,"Food Banks, Food Pantries, and Food Distribution",small,945914.58,49729.29,61368.06,84.52881960135167
81,Education,"Since The Farm School first began providing practical farm training for adults, its Learn to Farm program has graduated over 100 students into lives enriched by agriculture. Outside of one's own family farm, there really is no other place that comes close to The Farm School in providing training in the myriad of skills needed to operate an economically viable small farm. Forestry, animal husbandry, carpentry, mechanics, business planning and marketing join organic vegetable production at the center of the year-long program. Here, every day and in every way, students learn to farm by farming. Growing food for a 175 member CSA, a vibrant Farmers' Market and a 50 member meat and egg CSA and managing 150 acres of productive forest land is the core of life and learning on the farm.",22-2959081,1772558,0.143,0.15,0.094,0.762,94.98,Patrick Connors,67983.0,0.0383,"Spend a year with us, launch a lifetime of farming",The Farm School,1826894,MA,Adult Education Programs and Services,small,1350689.196,166620.452,253475.794,86.08454055623396
97,Animals,"Farm Sanctuary was founded in 1986 to combat the abuses of factory farming and to encourage a new awareness and understanding about farm animals. Through the years, we have rescued thousands of animals, and educated millions of people about their plight. People are shocked to learn about the intolerable conditions that are commonplace on today's industrialized farms. Our rescue and education work continues, as we advocate for laws and policies to prevent suffering and promote compassion. We are reaching out to legislators and businesses, and working to bring about institutional reforms. Farm Sanctuary remains solidly committed to our mission to end cruelty to farm animals and promote compassionate living through rescue, education and advocacy efforts.",51-0292919,11633460,0.108,0.13,0.162,0.729,84.14,Harry Lynch,194322.0,0.0167,"Rescue, education, advocacy",Farm Sanctuary,12330649,NY,"Animal Rights, Welfare, and Services",mid,8480792.34,1884620.52,1256413.68,88.60210695340922
54,Animals,"Farm Animal Rights Movement (FARM) advocates for the animals through massive public awareness campaigns, innovative grassroots activism, and effective vegan support programs. FARM believes in the inherent worth of all animals, as well as environmental protection and improved public health. FARM is on the frontlines of building a kinder and more just world, where animals are no longer raised or killed for food.",52-1302627,1581642,0.083,0.05,0.045,0.871,98.84,Alex Hershaft,,,"Saving animals, raising awareness, activating compassion.",Farm Animal Rights Movement,1794702,MD,"Animal Rights, Welfare, and Services",small,1377610.182,71173.89,131276.286,68.10354877602747
89,Human Services,"Farm Aid's mission is to build a vibrant, family farm-centered system of agriculture in America. Farm Aid artists and board members Willie Nelson, Neil Young, John Mellencamp and Dave Matthews host an annual concert to support Farm Aid's work with family farmers and to inspire people to choose food from family farms. Since 1985, Farm Aid has raised more than $48 million to support programs that help farmers thrive, expand the reach of the Good Food Movement, take action to change the dominant system of industrial agriculture, and promote food from family farms.",36-3383233,2269513,0.131,0.13,0.08,0.788,86.95,Carolyn Mugar,43553.0,0.0191,Keep America growing,Farm Aid,2331945,MA,Social Services,small,1788376.244,181561.04,297306.203,87.88415185368994
100,Human Services,"FareStart provides a community that transforms lives by empowering homeless and disadvantaged men, women, and families to achieve self-sufficiency through life skills, job training and employment in the food service industry.",91-1546757,19123764,0.134,0.18,0.103,0.762,89.98,Megan Karch,237916.0,0.0124,Great food. Better lives.,FareStart,19563851,WA,Social Services,big,14572308.17,1969747.692,2562584.376,92.92161963168698
100,Religion,"Founded in 1945, Far East Broadcasting Company (FEBC) is a non-denominational, international Christian radio network that broadcasts the Good News in more than 150 languages from 32 transmitters located throughout the world. FEBC's mission is to develop radio programming and deliver it to listeners in Asia in such a way that they move toward Jesus Christ and into His Kingdom, that they know Him as Saviour, Lord, and King, follow His teaching, and live in obedience to Him as His servants, and as members of a local body of believers. FEBC overcomes the barriers of poverty, geography, and persecution to share Christ's love through radio and internet broadcasts.",95-1461574,10734316,0.099,0.13,0.127,0.773,84.56,Edward Cannon,210628.0,0.0196,Christ to the world by radio,Far East Broadcasting Company,9464451,CA,Religious Media and Broadcasting,mid,8297626.268,1363258.132,1062697.284,89.06931131715311
100,Health,"Founded in 1989, the mission of the Fanconi Anemia Research Fund is to find effective treatments and a cure for Fanconi anemia and to provide education and support services to affected families worldwide. Fanconi anemia (FA) is one of the inherited anemias that leads to bone marrow failure (aplastic anemia). Family Support Services provided by the Fanconi Anemia Research Fund include education to FA patients, their families, and treating physicians about the genetic causes and effects of FA and state of the art life-extending or life-saving treatments. Information is provided through publications, the Annual Family Meeting, regional meetings, and through consultation with our family support coordinator.",93-0995453,2512535,0.102,0.07,0.084,0.813,90.41,Mark Quinlan,76394.0,0.0304,Dedicated to finding effective treatments and a cure for Fanconi anemia,Fanconi Anemia Research Fund,3465927,OR,"Diseases, Disorders, and Disciplines",small,2042690.955,211052.94,256278.57,93.19453291091048
88,Health,"Fan Free Clinic (FFC) provides medical treatment, health education, social services and advocacy for those in the Richmond area with limited access to care, placing special emphasis on welcoming the least served. In 1968, a small community clinic was established in Richmond's historic Fan District. Incorporated two years later, Fan Free Clinic became the first free clinic in the Commonwealth of Virginia. Over the years, FFC's focus has shifted with the needs of the community. Today, as more and more individuals and families find themselves without adequate health care coverage and affordable resources, FFC is reshaping itself once again to meet contemporary challenges.",54-0927792,2349375,0.111,0.1,0.083,0.805,81.21,Karen Legato,82581.0,0.0351,Welcoming the least served,Fan Free Clinic,2047824,VA,Treatment and Prevention Services,small,1891246.875,194998.125,260780.625,84.1192153459278
100,Human Services,"FamilyWorks connects neighbors and families to nourishing food, essential resources, and a supportive community, so people can build resiliency to meet life's challenges.",91-1757277,1746874,0.063,0.03,0.038,0.898,85.57,Jaclyn Weber,79714.0,0.0456,Nourishing. Connecting. Empowering.,FamilyWorks,1816691,WA,Social Services,small,1568692.852,66381.212,110053.062,89.77973293802602
92,Human Services,"Founded in 1963, FamilyMeans' mission is to strengthen communities by strengthening families. FamilyMeans offers many programs to help families and individuals in need. Whether you're looking for counseling or therapy help, assistance in managing debt, financial planning, budgets, or money management, caregiver support, youth programs, and much more in the St. Croix Valley and surrounding areas, FamilyMeans can help strengthen your family and community.",41-6045574,4625663,0.091,0.1,0.048,0.859,90.44,Arba-Della Beck,141574.0,0.0306,Strengthening communities by strengthening families,FamilyMeans,4715312,MN,Social Services,mid,3973444.517,222031.824,420935.333,91.15093190325244
93,Human Services,"The mission of Family Violence Prevention Services is to break the cycle of violence and to strengthen families by providing the necessary tools for self-sufficiency through delivery of emergency shelter, transitional housing, education, effective parenting education, and specialized intervention with youth and the elderly. Established in 1977, FVPS serves over 8,000 victims of domestic violence, primarily women and children, annually with a comprehensive range of services that foster long-term stability and freedom from violence. Intervention with children is a priority, in order to heal families and stop the intergenerational cycle of violence.",74-1994151,6149064,0.084,0.03,0.038,0.876,94.94,Marta Pelaez,130000.0,0.0211,Breaking the cycle of family violence,"Family Violence Prevention Services, Inc.",7462885,TX,Social Services,mid,5386580.064,233664.432,516521.376,93.88984427081667
93,Human Services,"Since 1974, The Family Tree has led the way in building awareness, educating and inspiring hope to everyone involved in efforts to prevent child abuse and neglect in Maryland. The Family Tree serves as the state's exclusive Parents Anonymous and Prevent Child Abuse America chapters and is also an affiliate of the National Exchange Club Foundation. We reach over 20,000 people annually through evidence informed parenting education, training, and public awareness activities. As a leader in the fight against child abuse and neglect, The Family Tree gives Maryland's children and families a possibility of a brighter future.",52-1110645,3155863,0.138,0.1,0.119,0.741,91.88,Patricia Cronin,134229.0,0.0425,Providing solutions. Preventing child abuse.,The Family Tree,2807689,MD,Children's and Family Services,small,2338494.483,375547.697,435509.094,92.41839437390792
66,Religion,"Everything we do at Family Radio is to enable people to discover, own, read and trust the word of God -- the Bible.",94-1442453,9739808,0.235,0.19,0.113,0.65,74.28,Thomas Evans,123811.0,0.0127,A beacon of truth and hope,Family Stations,5401582,CA,Religious Media and Broadcasting,mid,6330875.2,1100598.304,2288854.88,69.58810667273956
100,Human Services,"Family Shelter Service transforms lives by offering help and hope to those affected by domestic violence. Family Shelter Service was founded in 1976 by a group of caring and concerned individuals who wanted to help the growing numbers of homeless people in DuPage County. In 1982, with the passage of the Illinois Domestic Violence Act, the Court Advocacy Program was implemented. The Children's Program was added in 1984. In 1986, a second 18-bed shelter opened. A third shelter that houses our special transitional program opened in 1989, bringing the total shelter capacity to 43 beds. Also in 1989, Family Shelter Service played a significant role in the development and implementation of the DuPage County Domestic Violence Protocol, which provides the structure for the community's response to domestic violence.",36-2883552,2458929,0.137,0.1,0.098,0.764,82.54,Judie Caribeaux,108139.0,0.0439,Healing from Domestic Abuse,Family Shelter Service,2527443,IL,Social Services,small,1878621.756,240975.042,336873.273,87.61555094347324
81,Human Services,"Family Service of Waukesha (FSW) is an independent, nonprofit community service agency that provides psychotherapy, education, and advocacy services to residents of Waukesha County. Founded in 1964, the agency was the first nonprofit counseling clinic in Waukesha County. At Family Service of Waukesha, we know that mental and emotional health are the basis for confident individuals, good parents, happy children, strong families, and productive communities.",39-1038707,1550112,0.116,0.15,0.078,0.804,81.32,Teri Terrill,81236.0,0.0524,"Improving the quality of individual, family and community life in Waukesha County.",Family Service Agency of Waukesha,1656283,WI,Children's and Family Services,small,1246290.048,120908.736,179812.992,81.180703523838
92,Human Services,"Founded in 1995, Family Scholar House is changing lives, families and communities through education.
Our mission is to end the cycle of poverty and transform our community by empowering families and youth to succeed in education and achieve life-long self-sufficiency. Family Scholar House assists participants in obtaining needed support services and helps them address barriers to education. All participants meet regularly with their Support Manager for service. While the majority of families served by Family Scholar House are in the non-residential programs, those in need of stable housing may apply for the residential program.",61-1285124,1323388,0.087,0.04,0.049,0.863,93.51,Cathe Dykstra,159822.0,0.1207,"Changing lives, families, and communities through education",Family Scholar House,2182716,KY,Children's and Family Services,small,1142083.844,64846.012,115134.756,92.63431759820561
92,Human Services,"Since 1970, Family Resources has been the agency to turn to for crisis counseling, safe shelter and safe respite for runaway and homeless teens. We are committed to making a difference in the lives of those who need our help and have no where else to turn. Our mission is to strengthen families and build better communities by providing prevention, support and counseling to children, teens and families. We accomplish this through our belief and vision that every child should be safe, that every troubled teen deserves help, and that every family torn apart in crisis be given the opportunity to mend.",23-7146873,9093848,0.114,0.01,0.009,0.876,92.5,Lisa M. Davis,157153.0,0.0172,Where Family Comes First,Family Resources,9463367,FL,Children's and Family Services,mid,7966210.848,81844.632,1036698.672,92.25235371078425
92,Human Services,"The Family Resource Center Association (FRCA) is a collaborative network of 24 community-based family resource centers that provide a comprehensive approach to improving self-sufficiency for families and individuals in over 60% of Colorado. Our Mission is to provided public advocacy, capacity building, and resource development to strengthen our statewide network of family resource centers as they bring help and hope to Colorado families.",31-1599581,3946521,0.049,0.01,0.024,0.926,100.0,Mark Kling,96064.0,0.0243,Providing a comprehensive approach to improving self-sufficiency for families and individuals,Family Resource Center Association,11334423,CO,Children's and Family Services,mid,3654478.446,94716.504,193379.529,94.35200144028298
96,Health,"Family Reach is a national nonprofit dedicated to alleviating the financial burden of cancer. Working with more than 200 hospitals and cancer centers nationwide, we provide immediate financial assistance, education and navigation to families before they hit critical breaking points. Family Reach's efficient, solutions-driven model bridges the gap between hospital and home, quickly providing the vital support families need to stay afloat.",91-2192211,4406029,0.079,0.09,0.105,0.814,93.97,Carla Tardif,167671.0,0.038,A financial lifeline for families fighting cancer,Family Reach Foundation,4595390,NJ,Patient and Family Support,mid,3586507.606,462633.045,348076.291,94.873815145888
85,Human Services,"Family Promise of Greater Cleveland is an organization formed from the merger of Interfaith Hospitality Network of Greater Cleveland and New Life Community. Our mission is to inspire and empower homeless families to transform their lives, become self-sufficient, and fulfill their promise. Our mission is to inspire and empower homeless families to transform their lives, become self-sufficient, and fulfill their promise. Over 100 families each year benefit from our work thanks to the generous support of the Greater Cleveland community. We rely on our dedicated and talented volunteers, individual supporters, congregations, businesses, foundations, and government funders to make our mission a reality.",34-1598710,1161276,0.072,0.04,0.074,0.853,90.0,Joan Maser,84542.0,0.0728,"Building community, strengthening lives.",Family Promise of Greater Cleveland,2322070,OH,Homeless Services,small,990568.428,85934.424,83611.872,87.23483178549601
100,Human Services,"Family Promise develops community-based Affiliate programs that serve children and families experiencing or at risk of homelessness and provides ongoing support for these Affiliates to empower families to achieve and maintain their sustainable independence. Family Promise provides technical assistance and expertise to a national network of more than 200 Affiliates in 43 states, mobilizing 180,000 volunteers, and serving approximately 70,000 homeless family members each year. Our programs address the range of issues affecting low-income families and families experiencing homelessness to help them rebuild their lives and find independent, sustainable housing.",52-1591461,2165737,0.066,0.09,0.076,0.857,98.9,Claas Ehlers,104956.0,0.0484,"Building communities, strengthening lives",Family Promise,2222552,NJ,Homeless Services,small,1856036.609,164596.012,142938.642,99.20775314671954
89,Human Services,"The Family Place is the largest family violence service provider in the Dallas area reaching out to thousands of victims of family violence each year with award-winning programs that keep women and children safe. The Family Place empowers victims of family violence by providing safe housing, counseling and skills that create independence while building community engagement and advocating for social change to stop family violence.",75-1590896,13069089,0.101,0.04,0.051,0.846,94.09,Paige Flink,218257.0,0.0167,Where Family Violence Stops,The Family Place,14501467,TX,Social Services,mid,11056449.29,666523.539,1319977.989,91.16840467628575
100,Human Services,"Family Pathways is a charitable organization founded in 1978. Family Pathways' mission is to work with communities to develop supportive, caring relationships to help people meet their basic needs. This is done by providing a safety-net of essential services.",41-1332828,9363060,0.065,0.02,0.028,0.906,87.5,Rich Smith,84183.0,0.0089,People helping people meet their basic needs.,Family Pathways,8602261,MN,Social Services,mid,8482932.36,262165.68,608598.9,91.16167192466452
84,Human Services,"The Family Pantry of Cape Cod's mission is to provide food and clothing to those in need. We provide food to anyone in need with no geographic restrictions. We also provide a selection of clothing is sizes infant through adult. We welcome people of every age, race, color, national origin, religion, residence, sex, sexual orientation, marital status, disability, veteran, or any other status.",22-3079904,2601689,0.057,0.04,0.045,0.897,79.45,This organization did not report a CEO,,,Providing food and clothing to those in need,The Family Pantry of Cape Cod,3241133,MA,"Food Banks, Food Pantries, and Food Distribution",small,2333715.033,117076.005,148296.273,81.20571336598864
